id	member_1	member_2	member_3	member_4	member_5	member_6	member_7	member_8	member_9	member_10
S057	S069	S066	S021	S061	S052	S087	S076	S002	S036	S032
S058	S044	S014	S085	S019	S049	S095	S063	S051	S079	S076
S059	S092	S084	S005	S023	S063	S088	S017	S024	S029	S014
S060	S083	S065	S023	S025	S080	S008	S081	S041	S054	S063
S061	S046	S076	S069	S081	S087	S031	S052	S086	S032	S080
S062	S080	S011	S050	S003	S031	S054	S046	S040	S096	S100
S063	S014	S066	S060	S056	S030	S041	S003	S088	S024	S043
S064	S075	S095	S090	S083	S099	S097	S045	S051	S058	S065
S065	S046	S064	S094	S053	S041	S062	S076	S098	S099	S068
S066	S076	S048	S032	S004	S001	S049	S012	S028	S095	S088
S067	S026	S052	S051	S008	S091	S078	S083	S044	S059	S021
S068	S039	S001	S074	S066	S073	S071	S085	S061	S062	S099
S069	S040	S048	S089	S100	S065	S001	S003	S025	S076	S051
S070	S068	S039	S012	S032	S085	S072	S057	S044	S029	S080
S071	S029	S100	S040	S077	S062	S099	S051	S041	S066	S096
S072	S021	S088	S011	S034	S048	S006	S037	S014	S054	S047
S073	S076	S032	S088	S087	S096	S083	S058	S095	S043	S040
S074	S029	S021	S058	S050	S062	S083	S095	S085	S030	S072
S075	S081	S032	S078	S001	S006	S054	S058	S079	S027	S025
S076	S032	S074	S075	S018	S056	S017	S085	S045	S025	S062
S077	S025	S070	S006	S029	S088	S004	S091	S098	S013	S010
S078	S006	S074	S005	S037	S079	S089	S060	S045	S069	S011
S079	S049	S016	S099	S011	S001	S097	S050	S082	S039	S027
S080	S023	S056	S067	S024	S085	S088	S021	S034	S047	S030
S081	S018	S031	S014	S005	S003	S057	S065	S098	S092	S078
S082	S022	S044	S054	S049	S085	S067	S009	S057	S023	S056
S083	S054	S078	S024	S045	S089	S095	S027	S091	S096	S060
S084	S021	S028	S040	S032	S011	S056	S049	S082	S062	S072
S085	S031	S013	S094	S078	S080	S029	S060	S090	S071	S066
S086	S091	S073	S002	S012	S001	S016	S047	S095	S026	S055
S087	S059	S005	S058	S038	S070	S026	S018	S044	S016	S049
S088	S054	S015	S061	S025	S022	S060	S019	S079	S083	S080
S089	S015	S070	S002	S090	S040	S094	S093	S067	S050	S025
S090	S035	S037	S081	S015	S065	S045	S096	S027	S097	S060
S091	S081	S052	S043	S061	S041	S069	S037	S084	S063	S031
S092	S082	S049	S001	S077	S071	S010	S099	S096	S066	S084
S093	S035	S066	S060	S061	S031	S073	S086	S083	S100	S038
S094	S033	S036	S075	S032	S038	S013	S043	S035	S019	S007
S095	S034	S055	S084	S047	S044	S018	S027	S071	S010	S021
S096	S066	S091	S063	S009	S024	S088	S005	S049	S045	S001
S097	S008	S092	S070	S094	S035	S099	S010	S093	S083	S058
S098	S045	S025	S050	S051	S008	S038	S057	S016	S077	S068
S099	S073	S075	S021	S092	S011	S034	S077	S038	S005	S003
S100	S017	S040	S094	S058	S019	S045	S024	S062	S006	S078
